"country.code","cc3","country","flow","primary","secondary","tretiary","value"
"AF","AFG","Afghanistan","Exports","Fuels and mining products","Fuels",NA,19.716077
"AF","AFG","Afghanistan","Exports","Textiles",NA,NA,90.184242
"AF","AFG","Afghanistan","Imports","Clothing",NA,NA,11.307591
"AF","AFG","Afghanistan","Imports","Fuels and mining products","Fuels",NA,1637.95696
"AF","AFG","Afghanistan","Imports","Iron and steel",NA,NA,25.306079
"AF","AFG","Afghanistan","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",12.705969
"AF","AFG","Afghanistan","Imports","Machinery and transport equipment","Transport equipment","Automotive products",88.607539
"AF","AFG","Afghanistan","Imports","Textiles",NA,NA,239.270549
"AL","ALB","Albania","Exports","Chemicals","Pharmaceuticals",NA,1.74939
"AL","ALB","Albania","Exports","Clothing",NA,NA,324.515863
"AL","ALB","Albania","Exports","Fuels and mining products","Fuels",NA,389.265914
"AL","ALB","Albania","Exports","Iron and steel",NA,NA,113.384483
"AL","ALB","Albania","Exports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",2.148149
"AL","ALB","Albania","Exports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",0.049572
"AL","ALB","Albania","Exports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",13.245898
"AL","ALB","Albania","Exports","Machinery and transport equipment","Transport equipment","Automotive products",8.459292
"AL","ALB","Albania","Exports","Textiles",NA,NA,2.156322
"AL","ALB","Albania","Imports","Chemicals","Pharmaceuticals",NA,141.401896
"AL","ALB","Albania","Imports","Clothing",NA,NA,208.521327
"AL","ALB","Albania","Imports","Fuels and mining products","Fuels",NA,414.576832
"AL","ALB","Albania","Imports","Iron and steel",NA,NA,125.225948
"AL","ALB","Albania","Imports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",46.687823
"AL","ALB","Albania","Imports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",5.221816
"AL","ALB","Albania","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",100.130322
"AL","ALB","Albania","Imports","Machinery and transport equipment","Transport equipment","Automotive products",236.6554
"AL","ALB","Albania","Imports","Textiles",NA,NA,172.589474
"DZ","DZA","Algeria","Exports","Chemicals","Pharmaceuticals",NA,2.48943
"DZ","DZA","Algeria","Exports","Clothing",NA,NA,0.06952
"DZ","DZA","Algeria","Exports","Fuels and mining products","Fuels",NA,33218.366568
"DZ","DZA","Algeria","Exports","Iron and steel",NA,NA,5.307104
"DZ","DZA","Algeria","Exports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",0.120385
"DZ","DZA","Algeria","Exports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",0.214564
"DZ","DZA","Algeria","Exports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",0.29866
"DZ","DZA","Algeria","Exports","Machinery and transport equipment","Transport equipment","Automotive products",0.225588
"DZ","DZA","Algeria","Exports","Textiles",NA,NA,1.167396
"DZ","DZA","Algeria","Imports","Chemicals","Pharmaceuticals",NA,2076.077031
"DZ","DZA","Algeria","Imports","Clothing",NA,NA,423.809143
"DZ","DZA","Algeria","Imports","Fuels and mining products","Fuels",NA,2339.109404
"DZ","DZA","Algeria","Imports","Iron and steel",NA,NA,4321.006411
"DZ","DZA","Algeria","Imports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",631.390846
"DZ","DZA","Algeria","Imports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",295.233753
"DZ","DZA","Algeria","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",1797.969674
"DZ","DZA","Algeria","Imports","Machinery and transport equipment","Transport equipment","Automotive products",4661.348928
"DZ","DZA","Algeria","Imports","Textiles",NA,NA,633.329544
"AO","AGO","Angola","Exports","Fuels and mining products","Fuels",NA,31894.83859
"AO","AGO","Angola","Imports","Chemicals","Pharmaceuticals",NA,229.04246
"AO","AGO","Angola","Imports","Clothing",NA,NA,133.250103
"AO","AGO","Angola","Imports","Fuels and mining products","Fuels",NA,245.712232
"AO","AGO","Angola","Imports","Iron and steel",NA,NA,1239.476711
"AO","AGO","Angola","Imports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",134.551117
"AO","AGO","Angola","Imports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",18.618322
"AO","AGO","Angola","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",354.440814
"AO","AGO","Angola","Imports","Machinery and transport equipment","Transport equipment","Automotive products",846.944434
"AO","AGO","Angola","Imports","Textiles",NA,NA,106.293768
"AG","ATG","Antigua & Barbuda","Exports","Chemicals","Pharmaceuticals",NA,0.105461
"AG","ATG","Antigua & Barbuda","Exports","Clothing",NA,NA,0.560717
"AG","ATG","Antigua & Barbuda","Exports","Fuels and mining products","Fuels",NA,0.287452
"AG","ATG","Antigua & Barbuda","Exports","Iron and steel",NA,NA,0.547379
"AG","ATG","Antigua & Barbuda","Exports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",0.153976
"AG","ATG","Antigua & Barbuda","Exports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",0.000531
"AG","ATG","Antigua & Barbuda","Exports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",3.01044
"AG","ATG","Antigua & Barbuda","Exports","Machinery and transport equipment","Transport equipment","Automotive products",0.753921
"AG","ATG","Antigua & Barbuda","Exports","Textiles",NA,NA,7.407629
"AG","ATG","Antigua & Barbuda","Imports","Chemicals","Pharmaceuticals",NA,7.917783
"AG","ATG","Antigua & Barbuda","Imports","Clothing",NA,NA,9.390446
"AG","ATG","Antigua & Barbuda","Imports","Fuels and mining products","Fuels",NA,71.143361
"AG","ATG","Antigua & Barbuda","Imports","Iron and steel",NA,NA,6.050562
"AG","ATG","Antigua & Barbuda","Imports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",5.215627
"AG","ATG","Antigua & Barbuda","Imports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",3.015581
"AG","ATG","Antigua & Barbuda","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",9.166407
"AG","ATG","Antigua & Barbuda","Imports","Machinery and transport equipment","Transport equipment","Automotive products",37.119494
"AG","ATG","Antigua & Barbuda","Imports","Textiles",NA,NA,9.766088
"AR","ARG","Argentina","Exports","Agricultural Products","Food","Fish",1446.894
"AR","ARG","Argentina","Exports","Agricultural Products","Food","Other food products",32589.395
"AR","ARG","Argentina","Exports","Agricultural Products","Raw materials",NA,560.665
"AR","ARG","Argentina","Exports","Chemicals","Other chemicals",NA,4152.651
"AR","ARG","Argentina","Exports","Chemicals","Pharmaceuticals",NA,1139.129
"AR","ARG","Argentina","Exports","Clothing",NA,NA,65.276
"AR","ARG","Argentina","Exports","Fuels and mining products","Fuels",NA,1443.683
"AR","ARG","Argentina","Exports","Fuels and mining products","Non-ferrous metals",NA,778.419
"AR","ARG","Argentina","Exports","Fuels and mining products","Ores and other minerals",NA,782.189
"AR","ARG","Argentina","Exports","Iron and steel",NA,NA,553.848
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",26.551
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",3.734
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",36.836
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Other machinery",NA,1002.779
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Transport equipment","Automotive products",6114.448
"AR","ARG","Argentina","Exports","Machinery and transport equipment","Transport equipment","Other transport equipment",475.213
"AR","ARG","Argentina","Exports","Other manufactures","Miscellaneous manufactures",NA,292.51
"AR","ARG","Argentina","Exports","Other manufactures","Personal and household goods",NA,61.043
"AR","ARG","Argentina","Exports","Other manufactures","Scientific and controlling instruments",NA,100.655
"AR","ARG","Argentina","Exports","Other semi-manufactures",NA,NA,1936.588
"AR","ARG","Argentina","Exports","Textiles",NA,NA,133.919
"AR","ARG","Argentina","Imports","Agricultural Products","Food","Fish",167.837
"AR","ARG","Argentina","Imports","Agricultural Products","Food","Other food products",1428.507
"AR","ARG","Argentina","Imports","Agricultural Products","Raw materials",NA,602.994
"AR","ARG","Argentina","Imports","Chemicals","Other chemicals",NA,8688.308
"AR","ARG","Argentina","Imports","Chemicals","Pharmaceuticals",NA,2587.595
"AR","ARG","Argentina","Imports","Clothing",NA,NA,362.51
"AR","ARG","Argentina","Imports","Fuels and mining products","Fuels",NA,6568.619
"AR","ARG","Argentina","Imports","Fuels and mining products","Non-ferrous metals",NA,675.806
"AR","ARG","Argentina","Imports","Fuels and mining products","Ores and other minerals",NA,972.089
"AR","ARG","Argentina","Imports","Iron and steel",NA,NA,1500.792
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Office and telecom equipment","Electronic data processing and office equipment",1377.395
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Office and telecom equipment","Integrated circuits and electronic components",315.578
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Office and telecom equipment","Telecommunications equipment",4006.439
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Other machinery",NA,9936.984
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Transport equipment","Automotive products",8742.461
"AR","ARG","Argentina","Imports","Machinery and transport equipment","Transport equipment","Other transport equipment",2311.949
"AR","ARG","Argentina","Imports","Other manufactures","Miscellaneous manufactures",NA,1850.143
"AR","ARG","Argentina","Imports","Other manufactures","Personal and household goods",NA,821.479
"AR","ARG","Argentina","Imports","Other manufactures","Scientific and controlling instruments",NA,1244.535
"AR","ARG","Argentina","Imports","Other semi-manufactures",NA,NA,3951.999
"AR","ARG","Argentina","Imports","Textiles",NA,NA,1101.206
"AM","ARM","Armenia","Exports","Chemicals","Pharmaceuticals",NA,11.401677
"AM","ARM","Armenia","Exports","Clothing",NA,NA,70.60518
"AM","ARM","Armenia","Exports","Fuels and mining products","Fuels",NA,92.391607
